ID,State,Date,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Type_of_Junction,Type_of_Accident,Vehicle_Type,Driver_Age_Group,Num_Vehicles_Involved,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response
165433,Connecticut,2024-02-20 05:46:20,Tuesday,19:59:02,Rainy,Muddy,Daylight,Street,T-Junction,Run-off-road,Car,Adult,2,3,57,3.303605919,3.139351249,485.6490115,4.886202343,0.9049708448,45,25.15278073
165434,Massachusetts,2024-01-09 05:08:31,Wednesday,21:28:51,Sunny,Muddy,Daylight,Highway,Intersection,Side collision,Pedestrian,Adult,1,0,55,2.715327268,3.634593241,616.9799361,4.677592166,0.9492360132,41,23.16381656
165435,Wyoming,2024-02-20 08:26:27,Thursday,18:04:26,Snowy,Snowy,Dawn,Street,Underpass,Cyclist involved,Bicycle,Young Adult,3,1,38,4.811429201,9.631560792,838.741654,9.926058085,0.1844466068,64,6.69774981
165436,Hawaii,2024-01-15 03:23:47,Sunday,16:51:02,Snowy,Icy,Daylight,Street,Intersection,Run-off-road,Car,Senior,5,0,59,6.976968332,2.33446816,842.4410192,4.351822374,0.1958110689,,6.595035957
165437,Oklahoma,2024-02-10 10:17:29,Tuesday,14:19:19,Foggy,Icy,Night,Rural,T-Junction,Run-off-road,Car,Adult,2,0,53,3.724599099,4.359619628,905.6202625,6.626861549,0.9548212534,81,22.91312826
165438,Minnesota,2024-02-23 22:04:48,Monday,00:14:21,Foggy,Snowy,Dawn,Urban,T-Junction,Head-on collision,Pedestrian,Teenager,4,2,41,6.731334572,6.917151501,550.071522,9.254612079,0.4632285783,37,6.905079936
165439,Wyoming,2024-02-19 19:41:33,Saturday,10:21:34,Stormy,Icy,Daylight,Street,Crossroads,Rollover,Pedestrian,Teenager,1,2,65,8.4317615,0.6748361768,859.0380579,9.691996591,0.5521596495,80,
165440,Minnesota,2024-01-25 16:51:14,Tuesday,02:01:40,Rainy,Icy,Daylight,Urban,Underpass,Rear-end collision,Motorcycle,Senior,4,1,68,6.056827158,9.926589521,700.9299631,4.9223123,0.524377048,0,26.81232269
165441,Nevada,2024-01-07 06:48:41,Wednesday,06:09:08,Rainy,Wet,Dusk,Highway,Overpass,Rear-end collision,Car,Teenager,4,0,59,6.010958363,7.872237441,892.7208736,9.329544864,0.7561471988,63,20.44267653
165442,North Dakota,2024-01-01 06:22:29,Tuesday,22:33:51,Sunny,Icy,Dawn,Street,Overpass,Pedestrian involved,Pedestrian,Senior,1,3,30,4.781272277,5.136492724,934.0296202,8.650907009,0.2180579473,45,7.766431756
